DATE,TRFVOLUSM227NFWA
1970-01-01,1.0
1970-02-01,0.00825205429802615
1970-03-01,0.024661538558619262
1970-04-01,0.01102710013956055
1970-05-01,0.018760656338365184
1970-06-01,0.01311117132741653
1970-07-01,0.01668108492846008
1970-08-01,0.01176017337598501
1970-09-01,0.0011305376642384048
1970-10-01,0.012258303684573552
1970-11-01,0.005039108477929519
1970-12-01,0.011507937244408788
1971-01-01,0.006713973626103393
1971-02-01,0.005762048262595768
1971-03-01,0.024316934406126176
1971-04-01,0.015990980501928702
1971-05-01,0.01610401269799196
1971-06-01,0.012775754271587128
1971-07-01,0.016940699109277122
1971-08-01,0.011423512502655907
1971-09-01,0.0019855480907816914
1971-10-01,0.012347714792916306
1971-11-01,0.005122090370083456
1971-12-01,0.01124993790930918
1972-01-01,0.008445063239897807
1972-02-01,0.007223266947361029
1972-03-01,0.024734425279407647
1972-04-01,0.011551612278648253
1972-05-01,0.017590582665038813
1972-06-01,0.013098672054328422
1972-07-01,0.015312153384786927
1972-08-01,0.012255044810987492
1972-09-01,0.002183262568610851
1972-10-01,0.011907424020483223
1972-11-01,0.004558705332518734
1972-12-01,0.011502640307527788
1973-01-01,0.00740992036422888
1973-02-01,0.007494598690374558
1973-03-01,0.024373497865347926
1973-04-01,0.011798280075007647
1973-05-01,0.016550188477210386
1973-06-01,0.012076108058024605
1973-07-01,0.015582369381910564
1973-08-01,0.01323699826284515
1973-09-01,0.0007605813918348248
1973-10-01,0.013447635182146148
1973-11-01,0.004270774828973001
1973-12-01,0.006524881449842206
1974-01-01,0.007830534587061021
1974-02-01,0.002976974210701637
1974-03-01,0.024701793687175514
1974-04-01,0.014564738039917893
1974-05-01,0.017419712026469376
1974-06-01,0.01261982044335112
1974-07-01,0.016510813930488262
1974-08-01,0.013560041184539396
1974-09-01,4.831686186360096e-05
1974-10-01,0.01400957425110885
1974-11-01,0.005255532771444416
1974-12-01,0.011289931041737354
1975-01-01,0.0054815467067884285
1975-02-01,0.004783866388461498
1975-03-01,0.024412940561498814
1975-04-01,0.01215971169987403
1975-05-01,0.018745174296225776
1975-06-01,0.012574775573621225
1975-07-01,0.01568921937516784
1975-08-01,0.012411683607543599
1975-09-01,0.00043105246298261006
1975-10-01,0.01426229687216476
1975-11-01,0.004775034286030769
1975-12-01,0.012064681803481313
1976-01-01,0.006720490375563762
1976-02-01,0.007860295053265298
1976-03-01,0.024275501188036924
1976-04-01,0.013353588544927289
1976-05-01,0.01585262553480222
1976-06-01,0.011888240121857381
1976-07-01,0.015931714223082538
1976-08-01,0.011967601183607176
1976-09-01,0.0025829585849593013
1976-10-01,0.012581216897359726
1976-11-01,0.005142439366384963
1976-12-01,0.011312940012960215
1977-01-01,0.0026772366635125396
1977-02-01,0.011261808673921523
1977-03-01,0.02513091579069616
1977-04-01,0.01241285262400431
1977-05-01,0.016443045645693426
1977-06-01,0.01158297549470292
1977-07-01,0.015823821025315373
1977-08-01,0.011375269416652475
1977-09-01,0.0031250634149238288
1977-10-01,0.013503596459349666
1977-11-01,0.004943628688266049
1977-12-01,0.009623728949459114
1978-01-01,0.006313573604546941
1978-02-01,0.009009249864836269
1978-03-01,0.024910383441740257
1978-04-01,0.009665257024013413
1978-05-01,0.019249586028747143
1978-06-01,0.014141927752954093
1978-07-01,0.016977163454796322
1978-08-01,0.01202314460973808
1978-09-01,0.0
1978-10-01,0.012310220100945304
1978-11-01,0.00497851842848486
1978-12-01,0.011924902428253309
1979-01-01,0.003776753845068443
1979-02-01,0.00760867358180848
1979-03-01,0.027134513810787013
1979-04-01,0.010033656786948794
1979-05-01,0.013195400906045677
1979-06-01,0.010488027788705466
1979-07-01,0.013696503890951589
1979-08-01,0.014530004797273975
1979-09-01,0.0031860595853420246
1979-10-01,0.014018343905725936
1979-11-01,0.005627325003669379
1979-12-01,0.011176531820373585
1980-01-01,0.006343487742710206
1980-02-01,0.00414338855964142
1980-03-01,0.02474974260406186
1980-04-01,0.011648870221565853
1980-05-01,0.01508369577594073
1980-06-01,0.011559648152735844
1980-07-01,0.014274468016548992
1980-08-01,0.012825589590750306
1980-09-01,0.003923547129072923
1980-10-01,0.014742968377541065
1980-11-01,0.004994911040223685
1980-12-01,0.012258781463962337
1981-01-01,0.004922512664028341
1981-02-01,0.0064121560932272025
1981-03-01,0.02460502833461884
1981-04-01,0.011742392280673274
1981-05-01,0.015179169349190978
1981-06-01,0.012091291379376484
1981-07-01,0.014898290375886001
1981-08-01,0.012646514794791784
1981-09-01,0.0034522526922081045
1981-10-01,0.012631787291554302
1981-11-01,0.005575392906934998
1981-12-01,0.011017484661021032
1982-01-01,0.000306592849001603
1982-02-01,0.009477086616865072
1982-03-01,0.026683617494283156
1982-04-01,0.012415252614452844
1982-05-01,0.018056650886188654
1982-06-01,0.01242018546437442
1982-07-01,0.017291973623143567
1982-08-01,0.01191713683585546
1982-09-01,0.001002174457562878
1982-10-01,0.012858351817394262
1982-11-01,0.0035619594075469137
1982-12-01,0.011340331784793057
1983-01-01,0.005814171179559075
1983-02-01,0.005523622844315385
1983-03-01,0.02634556088207578
1983-04-01,0.011238459132052363
1983-05-01,0.018183061855311242
1983-06-01,0.01316776822719327
1983-07-01,0.017106534156916195
1983-08-01,0.01174656603609302
1983-09-01,0.0008521122081778486
1983-10-01,0.013818731763885194
1983-11-01,0.004761712396942071
1983-12-01,0.008678355073424715
1984-01-01,0.006255303645077851
1984-02-01,0.007604410005687049
1984-03-01,0.024939200586979775
1984-04-01,0.013813278142688639
1984-05-01,0.017109945259861963
