DATE,TRFVOLUSM227NFWA
1970-01-01,-2.4426553637447386
1970-02-01,-2.546766745294497
1970-03-01,-2.087889351261654
1970-04-01,-2.0967923986736414
1970-05-01,-1.8403668552462429
1970-06-01,-1.777768040220318
1970-07-01,-1.592689977506292
1970-08-01,-1.5764422037691896
1970-09-01,-1.9248838681161704
1970-10-01,-1.8915458697224454
1970-11-01,-2.1058893831627437
1970-12-01,-2.0982955139980604
1971-01-01,-2.2551765097831997
1971-02-01,-2.4447168680648304
1971-03-01,-1.9976624092803956
1971-04-01,-1.8362609618668306
1971-05-01,-1.6709815219062427
1971-06-01,-1.619890444391874
1971-07-01,-1.4259053455113875
1971-08-01,-1.4212079831005744
1971-09-01,-1.7403153146004262
1971-10-01,-1.703909733483809
1971-11-01,-1.9154062425260794
1971-12-01,-1.916664006201416
1972-01-01,-2.01415349359928
1972-02-01,-2.1535612757968483
1972-03-01,-1.692183230004253
1972-04-01,-1.6830909253214557
1972-05-01,-1.466809138652421
1972-06-01,-1.404639157972524
1972-07-01,-1.26652741555168
1972-08-01,-1.2333012250137572
1972-09-01,-1.5456252213386392
1972-10-01,-1.524325463106882
1972-11-01,-1.7551510045211094
1972-12-01,-1.7477388666016997
1973-01-01,-1.8807428047203227
1973-02-01,-2.010841535923356
1973-03-01,-1.5618464559625174
1973-04-01,-1.5442912892882847
1973-05-01,-1.3637041192584454
1973-06-01,-1.3366170237619934
1973-07-01,-1.1892345101854223
1973-08-01,-1.1223187311899234
1973-09-01,-1.4834531301476912
1973-10-01,-1.409310663255941
1973-11-01,-1.6500147382712136
1973-12-01,-1.8133832489041648
1974-01-01,-1.9319564418181037
1974-02-01,-2.2170491895278515
1974-03-01,-1.7567906926415064
1974-04-01,-1.644321831080116
1974-05-01,-1.4339024012081343
1974-06-01,-1.3881612173062856
1974-07-01,-1.2089249384742544
1974-08-01,-1.130925962953072
1974-09-01,-1.516497262501457
1974-10-01,-1.4230753726026668
1974-11-01,-1.6299936406131077
1974-12-01,-1.6298792901927246
1975-01-01,-1.8290433042178955
1975-02-01,-2.052143852866901
