Average_cost
1965.7141
1965.7141
1965.7141
1965.7141
1965.7141
1965.7141
1965.7141
1965.7141
1965.7141
1965.7141
1965.7141
1965.7141
1965.7141
1965.7141
1965.7141
1965.7141
1965.7141
1965.7141
1965.7141
