ds,yhat
2009-03-01,12.426157902981178
2009-04-01,12.421423370635713
2009-05-01,12.465827456846872
2009-06-01,12.45968813007017
2009-07-01,12.480157182030604
2009-08-01,12.480401149895517
2009-09-01,12.397905437923017
2009-10-01,12.447259858075107
2009-11-01,12.383492246297694
2009-12-01,12.395195847866662
2010-01-01,12.334209387580376
2010-02-01,12.293690295588549
2010-03-01,12.431341050843658
2010-04-01,12.425470840352835
2010-05-01,12.471824217411532
2010-06-01,12.46765250551243
2010-07-01,12.488564702180255
2010-08-01,12.490288006598611
2010-09-01,12.408054472506176
2010-10-01,12.453883221212122
2010-11-01,12.393979466688338
2010-12-01,12.401820455881941
2011-01-01,12.344465609717012
2011-02-01,12.302865927142477
2011-03-01,12.439430264710861
2011-04-01,12.433704152175869
2011-05-01,12.479637605094647
2011-06-01,12.475503685534363
2011-07-01,12.496226434598654
2011-08-01,12.49793412727151
2011-09-01,12.41644556254846
2011-10-01,12.461859139823432
2011-11-01,12.402498064909905
2011-12-01,12.410268021077389
2012-01-01,12.353432763472654
2012-02-01,12.312209940407273
2012-03-01,12.447537115429238
2012-04-01,12.44186287684678
2012-05-01,12.487380209799024
2012-06-01,12.48328374020951
2012-07-01,12.503818757912468
2012-08-01,12.505510980269623
2012-09-01,12.424760636095451
2012-10-01,12.469762803057131
2012-11-01,12.41093949151511
2012-12-01,12.418639058158297
2013-01-01,12.362318682061257
2013-02-01,12.321469304462402
2013-03-01,12.45557052463092
2013-04-01,12.449947690064905
2013-05-01,12.495052672761261
2013-06-01,12.490993313876041
2013-07-01,12.511342300912103
2013-08-01,12.513019193102117
2013-09-01,12.433000381795175
2013-10-01,12.477594865488559
2013-11-01,12.41930444561644
2013-12-01,12.426934260407538
2014-01-01,12.371124101407789
2014-02-01,12.3306447861613
2014-03-01,12.4635311576367
2014-04-01,12.457959261408273
2014-05-01,12.502655629408858
2014-06-01,12.49863304503494
2014-07-01,12.518797686691624
2014-08-01,12.520459387593423
2014-09-01,12.441165482057054
2014-10-01,12.485355975763119
2014-11-01,12.427593619992983
2014-12-01,12.43515431482741
2015-01-01,12.379849750770333
2015-02-01,12.33973714541033
2015-03-01,12.471419673740101
2015-04-01,12.465898254389087
2015-05-01,12.51018970941286
2015-06-01,12.506203566402887
2015-07-01,12.526185532700367
2015-08-01,12.527832179934748
2015-09-01,12.449256613108437
2015-10-01,12.493046776650022
2015-11-01,12.43580770114781
2015-12-01,12.443299902196518
2016-01-01,12.388496352800486
2016-02-01,12.348747135231719
2016-03-01,12.479236726261986
2016-04-01,12.473765326508664
2016-05-01,12.51765553674
2016-06-01,12.51370550496466
2016-07-01,12.53350645079408
2016-08-01,12.535138180735103
2016-09-01,12.457274445050597
2016-10-01,12.500667905095503
2016-11-01,12.443947369364828
2016-12-01,12.45137169712617
2017-01-01,12.397064623603201
2017-02-01,12.357675501825922
2017-03-01,12.486982962604657
2017-04-01,12.481561129311888
2017-05-01,12.525053729704378
2017-06-01,12.521139482025067
2017-07-01,12.540761047285592
2017-08-01,12.542377995071883
2017-09-01,12.465219641914238
2017-10-01,12.508219992275583
2017-11-01,12.452013298765127
2017-12-01,12.459370368116241
2018-01-01,12.405555272796107
2018-02-01,12.366522984633422
2018-03-01,12.494659024305474
2018-04-01,12.48928630844118
2018-05-01,12.532384901018672
2018-06-01,12.528506113260395
2018-07-01,12.547949922995029
2018-08-01,12.549552222540964
2018-09-01,12.473092861714477
2018-10-01,12.51570366364834
2018-11-01,12.460006157362802
2018-12-01,12.467296577610536
