ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1975-04-01,113398.97142762555,107751.40787486549,119061.49355457704,113398.97142762555,113398.97142762555,-146.35563390962415,-146.35563390962415,-146.35563390962415,-146.35563390962415,-146.35563390962415,-146.35563390962415,0.0,0.0,0.0,113252.61579371593
1975-05-01,113698.77735243025,117697.51360142183,128571.32830515213,113698.77735243025,113698.77735243025,9566.63132696189,9566.63132696189,9566.63132696189,9566.63132696189,9566.63132696189,9566.63132696189,0.0,0.0,0.0,123265.40867939213
1975-06-01,114008.57680806176,118659.21439176671,129627.38200831617,114008.57680806176,114008.57680806176,9999.032717089149,9999.032717089149,9999.032717089149,9999.032717089149,9999.032717089149,9999.032717089149,0.0,0.0,0.0,124007.60952515091
1975-07-01,114308.38273286643,124939.78277570603,136220.61306252467,114308.38273286643,114308.38273286643,16282.309595061608,16282.309595061608,16282.309595061608,16282.309595061608,16282.309595061608,16282.309595061608,0.0,0.0,0.0,130590.69232792805
1975-08-01,114618.18218849794,126073.53294676187,136643.8508255973,114618.18218849794,114618.18218849794,16641.677385801446,16641.677385801446,16641.677385801446,16641.677385801446,16641.677385801446,16641.677385801446,0.0,0.0,0.0,131259.8595742994
1975-09-01,114927.98164412947,107870.14256388614,118871.48418927993,114927.98164412947,114927.98164412947,-1811.6317415332112,-1811.6317415332112,-1811.6317415332112,-1811.6317415332112,-1811.6317415332112,-1811.6317415332112,0.0,0.0,0.0,113116.34990259625
1975-10-01,115227.78756893413,115138.29675526918,126255.43439105338,115227.78756893413,115227.78756893413,5348.119675527926,5348.119675527926,5348.119675527926,5348.119675527926,5348.119675527926,5348.119675527926,0.0,0.0,0.0,120575.90724446205
1975-11-01,115537.58702456564,101485.8935425724,112596.58362220401,115537.58702456564,115537.58702456564,-8380.24614576548,-8380.24614576548,-8380.24614576548,-8380.24614576548,-8380.24614576548,-8380.24614576548,0.0,0.0,0.0,107157.34087880015
1975-12-01,115837.39294937033,103475.8539517294,114609.59260535,115837.39294937033,115837.39294937033,-6903.120123287607,-6903.120123287607,-6903.120123287607,-6903.120123287607,-6903.120123287607,-6903.120123287607,0.0,0.0,0.0,108934.27282608273
1976-01-01,116147.19240500184,92913.62040222189,103361.76631506658,116147.19240500184,116147.19240500184,-18003.743282019575,-18003.743282019575,-18003.743282019575,-18003.743282019575,-18003.743282019575,-18003.743282019575,0.0,0.0,0.0,98143.44912298227
1976-02-01,116456.99186063335,84259.81162583809,95238.62316002026,116456.99186063335,116456.99186063335,-26624.00142265892,-26624.00142265892,-26624.00142265892,-26624.00142265892,-26624.00142265892,-26624.00142265892,0.0,0.0,0.0,89832.99043797443
1976-03-01,116746.80425461121,112173.69566347625,123064.20069792033,116746.80425461121,116746.80425461121,738.8642618337841,738.8642618337841,738.8642618337841,738.8642618337841,738.8642618337841,738.8642618337841,0.0,0.0,0.0,117485.668516445
1976-04-01,117056.60371024272,112245.52300570413,123320.5167816936,117056.60371024272,117056.60371024272,744.1676408799354,744.1676408799354,744.1676408799354,744.1676408799354,744.1676408799354,744.1676408799354,0.0,0.0,0.0,117800.77135112266
1976-05-01,117356.4096262569,121863.47870884716,133290.3896892923,117356.4096262569,117356.4096262569,10354.066813111545,10354.066813111545,10354.066813111545,10354.066813111545,10354.066813111545,10354.066813111545,0.0,0.0,0.0,127710.47643936845
1976-06-01,117666.20907280485,121318.36418460245,132549.9499763096,117666.20907280485,117666.20907280485,9405.359490832458,9405.359490832458,9405.359490832458,9405.359490832458,9405.359490832458,9405.359490832458,0.0,0.0,0.0,127071.56856363731
1976-07-01,117966.01498881902,128199.0445869021,139288.04949287852,117966.01498881902,117966.01498881902,15827.830036962116,15827.830036962116,15827.830036962116,15827.830036962116,15827.830036962116,15827.830036962116,0.0,0.0,0.0,133793.84502578113
1976-08-01,118275.814435367,129081.3028665908,139885.71381085616,118275.814435367,118275.814435367,16124.892373851164,16124.892373851164,16124.892373851164,16124.892373851164,16124.892373851164,16124.892373851164,0.0,0.0,0.0,134400.70680921816
1976-09-01,118585.61388191496,110869.4440547225,122160.13132150444,118585.61388191496,118585.61388191496,-1898.9759314332828,-1898.9759314332828,-1898.9759314332828,-1898.9759314332828,-1898.9759314332828,-1898.9759314332828,0.0,0.0,0.0,116686.63795048169
1976-10-01,118885.41979792913,118810.04504270774,130174.18441823215,118885.41979792913,118885.41979792913,5733.595341978925,5733.595341978925,5733.595341978925,5733.595341978925,5733.595341978925,5733.595341978925,0.0,0.0,0.0,124619.01513990806
1976-11-01,119195.2192444771,105701.24628920127,116413.02811856764,119195.2192444771,119195.2192444771,-8086.389909195723,-8086.389909195723,-8086.389909195723,-8086.389909195723,-8086.389909195723,-8086.389909195723,0.0,0.0,0.0,111108.82933528138
1976-12-01,119495.02516049126,107337.00122404724,118578.7255430406,119495.02516049126,119495.02516049126,-6585.28046509774,-6585.28046509774,-6585.28046509774,-6585.28046509774,-6585.28046509774,-6585.28046509774,0.0,0.0,0.0,112909.74469539353
1977-01-01,119804.82460703925,95767.61415179985,106023.65813922357,119804.82460703925,119804.82460703925,-18865.287058384754,-18865.287058384754,-18865.287058384754,-18865.287058384754,-18865.287058384754,-18865.287058384754,0.0,0.0,0.0,100939.5375486545
1977-02-01,120114.6240535872,86717.49490649809,98009.49119186365,120114.6240535872,120114.6240535872,-27700.303659185472,-27700.303659185472,-27700.303659185472,-27700.303659185472,-27700.303659185472,-27700.303659185472,0.0,0.0,0.0,92414.32039440173
1977-03-01,120394.44290853378,115285.29201036673,126390.62931867792,120394.44290853378,120394.44290853378,385.6230691824127,385.6230691824127,385.6230691824127,385.6230691824127,385.6230691824127,385.6230691824127,0.0,0.0,0.0,120780.06597771619
1977-04-01,120704.24235508173,116197.12051832571,127008.24072030412,120704.24235508173,120704.24235508173,446.6262885782015,446.6262885782015,446.6262885782015,446.6262885782015,446.6262885782015,446.6262885782015,0.0,0.0,0.0,121150.86864365994
1977-05-01,121004.0482710959,125664.54369790382,136015.52957748287,121004.0482710959,121004.0482710959,10084.138660006487,10084.138660006487,10084.138660006487,10084.138660006487,10084.138660006487,10084.138660006487,0.0,0.0,0.0,131088.1869311024
1977-06-01,121313.84771764389,125613.74918514038,136465.57149103913,121313.84771764389,121313.84771764389,9593.56028543026,9593.56028543026,9593.56028543026,9593.56028543026,9593.56028543026,9593.56028543026,0.0,0.0,0.0,130907.40800307415
1977-07-01,121613.65363365805,132004.29060705594,142974.5129429582,121613.65363365805,121613.65363365805,15980.787794650585,15980.787794650585,15980.787794650585,15980.787794650585,15980.787794650585,15980.787794650585,0.0,0.0,0.0,137594.44142830864
1977-08-01,121923.45308020602,132711.36652199962,143428.0713989738,121923.45308020602,121923.45308020602,16304.735999130688,16304.735999130688,16304.735999130688,16304.735999130688,16304.735999130688,16304.735999130688,0.0,0.0,0.0,138228.1890793367
1977-09-01,122233.25252675397,115127.76189199589,126038.2095251891,122233.25252675397,122233.25252675397,-1867.9022899779247,-1867.9022899779247,-1867.9022899779247,-1867.9022899779247,-1867.9022899779247,-1867.9022899779247,0.0,0.0,0.0,120365.35023677605
1977-10-01,122533.05844276815,123192.38994715009,133811.27903399663,122533.05844276815,122533.05844276815,5611.602689158857,5611.602689158857,5611.602689158857,5611.602689158857,5611.602689158857,5611.602689158857,0.0,0.0,0.0,128144.661131927
1977-11-01,122842.85788931613,109067.64199900227,119937.24367566945,122842.85788931613,122842.85788931613,-8188.34223507224,-8188.34223507224,-8188.34223507224,-8188.34223507224,-8188.34223507224,-8188.34223507224,0.0,0.0,0.0,114654.51565424389
1977-12-01,123035.45954355932,110620.61164922171,122099.99907644105,123035.45954355932,123035.45954355932,-6697.245992543439,-6697.245992543439,-6697.245992543439,-6697.245992543439,-6697.245992543439,-6697.245992543439,0.0,0.0,0.0,116338.21355101588
1978-01-01,123234.48125294397,99704.50060899739,110224.56540555283,123234.48125294397,123234.48125294397,-18586.983400699854,-18586.983400699854,-18586.983400699854,-18586.983400699854,-18586.983400699854,-18586.983400699854,0.0,0.0,0.0,104647.49785224411
1978-02-01,123433.50296232862,90888.42147876015,102011.57349362368,123433.50296232862,123433.50296232862,-27342.515368927765,-27342.515368927765,-27342.515368927765,-27342.515368927765,-27342.515368927765,-27342.515368927765,0.0,0.0,0.0,96090.98759340086
1978-03-01,123613.26450628894,118294.1603144064,129091.03231978467,123613.26450628894,123613.26450628894,16.39713050482524,16.39713050482524,16.39713050482524,16.39713050482524,16.39713050482524,16.39713050482524,0.0,0.0,0.0,123629.66163679375
1978-04-01,123812.28621567358,118293.1047207199,129359.39435917263,123812.28621567358,123812.28621567358,149.63072002947737,149.63072002947737,149.63072002947737,149.63072002947737,149.63072002947737,149.63072002947737,0.0,0.0,0.0,123961.91693570306
1978-05-01,124004.8878699168,128329.30131526678,139400.4079075636,124004.8878699168,124004.8878699168,9821.566368455555,9821.566368455555,9821.566368455555,9821.566368455555,9821.566368455555,9821.566368455555,0.0,0.0,0.0,133826.45423837236
1978-06-01,124203.90957930143,128164.28192424425,139492.97431348125,124203.90957930143,124203.90957930143,9791.53318516977,9791.53318516977,9791.53318516977,9791.53318516977,9791.53318516977,9791.53318516977,0.0,0.0,0.0,133995.4427644712
1978-07-01,124396.51123354463,135162.17587364037,146323.32355810647,124396.51123354463,124396.51123354463,16132.394785324374,16132.394785324374,16132.394785324374,16132.394785324374,16132.394785324374,16132.394785324374,0.0,0.0,0.0,140528.90601886902
1978-08-01,124595.53294292929,135283.04056872972,146548.2048864592,124595.53294292929,124595.53294292929,16477.05131971967,16477.05131971967,16477.05131971967,16477.05131971967,16477.05131971967,16477.05131971967,0.0,0.0,0.0,141072.58426264895
1978-09-01,124794.55465231392,116828.81471321428,129039.9152710976,124794.55465231392,124794.55465231392,-1838.794962035429,-1838.794962035429,-1838.794962035429,-1838.794962035429,-1838.794962035429,-1838.794962035429,0.0,0.0,0.0,122955.75969027849
1978-10-01,124987.15630655712,125042.08981172215,135529.07738328585,124987.15630655712,124987.15630655712,5483.029190894166,5483.029190894166,5483.029190894166,5483.029190894166,5483.029190894166,5483.029190894166,0.0,0.0,0.0,130470.1854974513
1978-11-01,125186.17801594178,111483.63966232787,122404.21532927368,125186.17801594178,125186.17801594178,-8286.389012855341,-8286.389012855341,-8286.389012855341,-8286.389012855341,-8286.389012855341,-8286.389012855341,0.0,0.0,0.0,116899.78900308644
1978-12-01,125378.77967018497,112855.82908476482,124483.8637042207,125378.77967018497,125378.77967018497,-6803.237289497914,-6803.237289497914,-6803.237289497914,-6803.237289497914,-6803.237289497914,-6803.237289497914,0.0,0.0,0.0,118575.54238068705
1979-01-01,125577.80137956962,102002.8795129806,112746.13691991403,125577.80137956962,125577.80137956962,-18299.700982104965,-18299.700982104965,-18299.700982104965,-18299.700982104965,-18299.700982104965,-18299.700982104965,0.0,0.0,0.0,107278.10039746464
1979-02-01,125776.82308895428,93282.79846573833,104243.47773429993,125776.82308895428,125776.82308895428,-26983.54797479981,-26983.54797479981,-26983.54797479981,-26983.54797479981,-26983.54797479981,-26983.54797479981,0.0,0.0,0.0,98793.27511415447
1979-03-01,125956.58463291459,120106.47227224486,130741.5685198719,125956.58463291459,125956.58463291459,-368.5454826213622,-368.5454826213622,-368.5454826213622,-368.5454826213622,-368.5454826213622,-368.5454826213622,0.0,0.0,0.0,125588.03915029322
