ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1990-06-01,177503.57312725758,181419.80273197906,193277.8814162922,177503.57312725758,177503.57312725758,9791.53318516994,9791.53318516994,9791.53318516994,9791.53318516994,9791.53318516994,9791.53318516994,0.0,0.0,0.0,187295.10631242752
1990-07-01,177918.27888858842,188090.72741307318,199200.02109478944,177918.27888858842,177918.27888858842,16132.394785324774,16132.394785324774,16132.394785324774,16132.394785324774,16132.394785324774,16132.394785324774,0.0,0.0,0.0,194050.6736739132
1990-08-01,178346.8081752969,189807.30013913958,200337.82477087458,178346.8081752969,178346.8081752969,16477.051319720074,16477.051319720074,16477.051319720074,16477.051319720074,16477.051319720074,16477.051319720074,0.0,0.0,0.0,194823.85949501698
1990-09-01,178775.33746200544,171281.44860901902,182526.79458758005,178775.33746200544,178775.33746200544,-1838.7949620351712,-1838.7949620351712,-1838.7949620351712,-1838.7949620351712,-1838.7949620351712,-1838.7949620351712,0.0,0.0,0.0,176936.54249997027
1990-10-01,179190.04322333628,178980.57031537237,190100.49828708498,179190.04322333628,179190.04322333628,5483.029190894657,5483.029190894657,5483.029190894657,5483.029190894657,5483.029190894657,5483.029190894657,0.0,0.0,0.0,184673.07241423093
1990-11-01,179618.57251004482,165594.23954909874,176747.0685678826,179618.57251004482,179618.57251004482,-8286.389012855758,-8286.389012855758,-8286.389012855758,-8286.389012855758,-8286.389012855758,-8286.389012855758,0.0,0.0,0.0,171332.18349718905
1990-12-01,180033.27827137563,167579.21120068248,178570.35094944452,180033.27827137563,180033.27827137563,-6803.237289497747,-6803.237289497747,-6803.237289497747,-6803.237289497747,-6803.237289497747,-6803.237289497747,0.0,0.0,0.0,173230.0409818779
1991-01-01,180461.80755808417,156561.87497780228,167671.5570416603,180461.80755808417,180461.80755808417,-18299.70098210453,-18299.70098210453,-18299.70098210453,-18299.70098210453,-18299.70098210453,-18299.70098210453,0.0,0.0,0.0,162162.10657597965
1991-02-01,180890.3368447927,148214.7118350937,159335.6252389921,180890.3368447927,180890.3368447927,-26983.547974799956,-26983.547974799956,-26983.547974799956,-26983.547974799956,-26983.547974799956,-26983.547974799956,0.0,0.0,0.0,153906.78886999274
1991-03-01,181277.39555536813,175622.08638223374,186597.75211370434,181277.39555536813,181277.39555536813,-368.5454826208214,-368.5454826208214,-368.5454826208214,-368.5454826208214,-368.5454826208214,-368.5454826208214,0.0,0.0,0.0,180908.8500727473
1991-04-01,181705.92484207667,176006.1339627725,187391.83153460684,181705.92484207667,181705.92484207667,-146.35563391071244,-146.35563391071244,-146.35563391071244,-146.35563391071244,-146.35563391071244,-146.35563391071244,0.0,0.0,0.0,181559.56920816595
1991-05-01,182120.63060340748,186053.1189643651,197172.79824464922,182120.63060340748,182120.63060340748,9566.631326961242,9566.631326961242,9566.631326961242,9566.631326961242,9566.631326961242,9566.631326961242,0.0,0.0,0.0,191687.26193036872
1991-06-01,182549.15989011602,187005.21700353178,198243.7928717994,182549.15989011602,182549.15989011602,9999.03271708953,9999.03271708953,9999.03271708953,9999.03271708953,9999.03271708953,9999.03271708953,0.0,0.0,0.0,192548.19260720554
1991-07-01,182963.86565144686,193693.29155551302,204683.47571093647,182963.86565144686,182963.86565144686,16282.309595061619,16282.309595061619,16282.309595061619,16282.309595061619,16282.309595061619,16282.309595061619,0.0,0.0,0.0,199246.17524650847
1991-08-01,183392.39493815537,194490.96871744466,205676.69659827466,183392.39493815537,183392.39493815537,16641.677385801613,16641.677385801613,16641.677385801613,16641.677385801613,16641.677385801613,16641.677385801613,0.0,0.0,0.0,200034.072323957
