ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1971-01-01,97899.00416773425,73809.41094636937,85261.97607101036,97899.00416773425,97899.00416773425,-18299.7009821048,-18299.7009821048,-18299.7009821048,-18299.7009821048,-18299.7009821048,-18299.7009821048,0.0,0.0,0.0,79599.30318562945
1971-02-01,98208.80365317196,65597.88346796155,77029.86872708128,98208.80365317196,98208.80365317196,-26983.54797480022,-26983.54797480022,-26983.54797480022,-26983.54797480022,-26983.54797480022,-26983.54797480022,0.0,0.0,0.0,71225.25567837173
1971-03-01,98488.62254324471,92679.1709772703,103608.84175846045,98488.62254324471,98488.62254324471,-368.54548262108733,-368.54548262108733,-368.54548262108733,-368.54548262108733,-368.54548262108733,-368.54548262108733,0.0,0.0,0.0,98120.07706062362
1971-04-01,98798.42202868243,92992.86537581914,104260.08262174357,98798.42202868243,98798.42202868243,-146.35563390960064,-146.35563390960064,-146.35563390960064,-146.35563390960064,-146.35563390960064,-146.35563390960064,0.0,0.0,0.0,98652.06639477283
1971-05-01,99098.22798233181,103126.98986786531,114200.14442525338,99098.22798233181,99098.22798233181,9566.631326962053,9566.631326962053,9566.631326962053,9566.631326962053,9566.631326962053,9566.631326962053,0.0,0.0,0.0,108664.85930929387
1971-06-01,99408.02746776951,103447.60333705989,114906.89546313522,99408.02746776951,99408.02746776951,9999.03271708921,9999.03271708921,9999.03271708921,9999.03271708921,9999.03271708921,9999.03271708921,0.0,0.0,0.0,109407.06018485872
1971-07-01,99707.8334214189,110349.44114295652,121670.3197181417,99707.8334214189,99707.8334214189,16282.309595061612,16282.309595061612,16282.309595061612,16282.309595061612,16282.309595061612,16282.309595061612,0.0,0.0,0.0,115990.1430164805
1971-08-01,100017.6329068566,110989.98268726919,122164.01777441178,100017.6329068566,100017.6329068566,16641.677385801515,16641.677385801515,16641.677385801515,16641.677385801515,16641.677385801515,16641.677385801515,0.0,0.0,0.0,116659.3102926581
1971-09-01,100327.43238982996,92997.19790971771,104392.35100987343,100327.43238982996,100327.43238982996,-1811.6317415332471,-1811.6317415332471,-1811.6317415332471,-1811.6317415332471,-1811.6317415332471,-1811.6317415332471,0.0,0.0,0.0,98515.80064829672
1971-10-01,100627.23834109452,100444.0486843786,112017.70480591564,100627.23834109452,100627.23834109452,5348.119675528303,5348.119675528303,5348.119675528303,5348.119675528303,5348.119675528303,5348.119675528303,0.0,0.0,0.0,105975.35801662282
1971-11-01,100937.03782406788,87191.74985912995,98249.97615644446,100937.03782406788,100937.03782406788,-8380.246145765364,-8380.246145765364,-8380.246145765364,-8380.246145765364,-8380.246145765364,-8380.246145765364,0.0,0.0,0.0,92556.79167830251
1971-12-01,101236.84377533243,88756.53879140208,99618.0344533693,101236.84377533243,101236.84377533243,-6903.120123287514,-6903.120123287514,-6903.120123287514,-6903.120123287514,-6903.120123287514,-6903.120123287514,0.0,0.0,0.0,94333.72365204491
1972-01-01,101546.64325830579,78014.84360464048,88922.73968143901,101546.64325830579,101546.64325830579,-18003.743282019415,-18003.743282019415,-18003.743282019415,-18003.743282019415,-18003.743282019415,-18003.743282019415,0.0,0.0,0.0,83542.89997628637
1972-02-01,101856.44274127916,69307.23724922499,80920.23182641994,101856.44274127916,101856.44274127916,-26624.001422658817,-26624.001422658817,-26624.001422658817,-26624.001422658817,-26624.001422658817,-26624.001422658817,0.0,0.0,0.0,75232.44131862035
