TRFVOLUSM227NFWA
252466.12
261872.77
260738.4
261980.31
244518.44
254554.14
233892.53
242113.22
225262.47
231159.98
248516.47
250734.78
260617.34
260852.73
260154.27
261980.31
245451.34
253622.45
239292.28
245099.58
227035.66
221914.28
247723.73
250374.38
257182.66
255887.77
261847.7
252168.14
247639.11
248674.88
237551.73
242333.9
227160.98
224653.94
244667.31
249827.06
257902.92
245402.98
260738.4
253368.84
245750.78
246380.95
240179.48
245556.8
224488.62
224157.77
242365.61
250288.47
261113.64
262591.38
258984.81
264333.06
246322.33
253757.78
242890.34
246695.14
228909.06
226037.53
244113.11
250589.5
261331.9
265661.38
262231.38
262959.0
249836.98
259952.95
243655.17
245313.34
242270.77
237281.36
237875.1
249220.7
265677.25
264081.03
267709.9
252140.0
251562.06
257206.55
253849.34
246041.19
246382.25
245169.36
223450.95
244924.22
262717.6
255192.4
252320.58
251562.06
251562.06
256380.02
252607.56
251647.9
252839.25
249090.08
229146.44
238077.38
257649.27
252140.0
251562.06
251562.06
251562.06
256380.02
252607.56
251647.9
254094.81
250230.42
231078.25
238077.38
251151.1
251562.06
251562.06
251562.06
251562.06
257206.55
252573.88
245926.27
