DATE,TRFVOLUSM227NFWA
1970-01-01,11.291954551767637
1970-02-01,11.257297460869518
1970-03-01,11.410050746046963
1970-04-01,11.407087057362455
1970-05-01,11.492447209488718
1970-06-01,11.513285400185776
1970-07-01,11.574895064251775
1970-08-01,11.580303700300176
1970-09-01,11.464312785049536
1970-10-01,11.47541049620747
1970-11-01,11.404058809983114
1970-12-01,11.406586693198102
1971-01-01,11.354363402620459
1971-02-01,11.29126830842378
1971-03-01,11.44008591879327
1971-04-01,11.493813998767182
1971-05-01,11.548833003308646
1971-06-01,11.56584044371661
1971-07-01,11.63041512426264
1971-08-01,11.63197880455993
1971-09-01,11.525752841275015
1971-10-01,11.537871703931298
1971-11-01,11.467467742045445
1971-12-01,11.467049051702702
1972-01-01,11.434596288363432
1972-02-01,11.388189564068671
1972-03-01,11.541775278074283
1972-04-01,11.544801967617486
1972-05-01,11.616798875435041
1972-06-01,11.637494313719353
1972-07-01,11.683469606141047
1972-08-01,11.6945300981692
1972-09-01,11.59056220369724
1972-10-01,11.597652568325561
1972-11-01,11.520814266390465
1972-12-01,11.523281654045864
1973-01-01,11.479006671766603
1973-02-01,11.435698788556174
1973-03-01,11.585162402114829
1973-04-01,11.591006249330224
1973-05-01,11.651120963721628
1973-06-01,11.660137844650615
1973-07-01,11.709199235382187
1973-08-01,11.731474477537695
1973-09-01,11.61125834453849
1973-10-01,11.635939240865373
1973-11-01,11.555812525772605
1973-12-01,11.501429640456744
1974-01-01,11.461958433142733
1974-02-01,11.367055405974192
1974-03-01,11.520268439225488
1974-04-01,11.557707607742122
1974-05-01,11.627753026400967
1974-06-01,11.642979568827707
1974-07-01,11.702644592144619
1974-08-01,11.728609261370584
1974-09-01,11.600258456902894
1974-10-01,11.631357179078135
1974-11-01,11.562477243799476
1974-12-01,11.562515309310225
1975-01-01,11.496216646906964
1975-02-01,11.421949877233436
1975-03-01,11.571863960191475
1975-04-01,11.581835666373436
1975-05-01,11.66701900030763
1975-06-01,11.681731091710663
1975-07-01,11.732012800954505
1975-08-01,11.744862242306379
1975-09-01,11.620882606475321
1975-10-01,11.65486763761084
1975-11-01,11.580499997756885
1975-12-01,11.589386381064674
1976-01-01,11.53723751735187
1976-02-01,11.498106200071877
1976-03-01,11.64645060757522
1976-04-01,11.670057410690523
1976-05-01,11.722205358345263
1976-06-01,11.729076626407295
1976-07-01,11.782127834675139
1976-08-01,11.789905474088767
1976-09-01,11.690502450733426
1976-10-01,11.705288107574903
1976-11-01,11.635116548669489
1976-12-01,11.635417396354345
1977-01-01,11.537091109469008
1977-02-01,11.536807993433476
1977-03-01,11.694921968940237
1977-04-01,11.707784761462145
1977-05-01,11.766675812877338
1977-06-01,11.770060697231688
1977-07-01,11.821879672697548
1977-08-01,11.822892375599853
1977-09-01,11.729680654082072
1977-10-01,11.755000676163295
1977-11-01,11.682558528897978
1977-12-01,11.663567138286108
1978-01-01,11.606770936248916
1978-02-01,11.580761667773798
1978-03-01,11.7363569748204
1978-04-01,11.717839870416817
1978-05-01,11.808784018706143
1978-06-01,11.84139433132273
1978-07-01,11.90638546595096
1978-08-01,11.914797458901507
1978-09-01,11.78589483445527
1978-10-01,11.797585475589687
1978-11-01,11.725541799064324
1978-12-01,11.732831782091454
1979-01-01,11.64706292389946
1979-02-01,11.60505787373149
1979-03-01,11.786054656064254
1979-04-01,11.771744992736908
1979-05-01,11.793545157421502
1979-06-01,11.784424800410232
1979-07-01,11.81194799071601
1979-08-01,11.848990475829142
1979-09-01,11.756475382862003
1979-10-01,11.78767426201011
1979-11-01,11.723040512714919
1979-12-01,11.721783461914578
1980-01-01,11.665328904976898
1980-02-01,11.583747329495884
1980-03-01,11.737507980478693
1980-04-01,11.74164543909721
1980-05-01,11.785011549797453
1980-06-01,11.788130015910896
1980-07-01,11.822254051948098
1980-08-01,11.839830654418556
1980-09-01,11.755738301357605
1980-10-01,11.795213013104702
1980-11-01,11.723356554256753
1980-12-01,11.734459722064848
1981-01-01,11.661776411702583
1981-02-01,11.606106106188683
1981-03-01,11.758213996168823
1981-04-01,11.763419556867232
1981-05-01,11.807876057611669
1981-06-01,11.817066345085276
1981-07-01,11.858314967191795
1981-08-01,11.87384638199375
1981-09-01,11.784371442481422
1981-10-01,11.79973465657234
1981-11-01,11.734507798217484
1981-12-01,11.731434292525895
1982-01-01,11.606033221219354
1982-02-01,11.58536704947094
1982-03-01,11.761214209371634
1982-04-01,11.774104411841678
1982-05-01,11.851424218247358
1982-06-01,11.864370758091829
1982-07-01,11.932957294690372
1982-08-01,11.940158587995837
1982-09-01,11.822701654895075
1982-10-01,11.840652430076808
1982-11-01,11.752430435291636
1982-12-01,11.753044120490399
1983-01-01,11.690544314683965
1983-02-01,11.624726197837926
1983-03-01,11.796712461453124
1983-04-01,11.796162673634774
1983-05-01,11.874926201664309
1983-06-01,11.896410777470333
1983-07-01,11.96287943641026
1983-08-01,11.968132664973206
1983-09-01,11.848961892354676
1983-10-01,11.877881029740182
1983-11-01,11.803361242493628
1983-12-01,11.773572871865445
1984-01-01,11.716111176943492
1984-02-01,11.674057433081579
1984-03-01,11.829981856628187
1984-04-01,11.858838708984914
1984-05-01,11.925346325644398
1984-06-01,11.940830243194625
1984-07-01,11.993516598268792
1984-08-01,12.013221850348415
1984-09-01,11.891875467422638
1984-10-01,11.90233571411686
1984-11-01,11.82972692274573
1984-12-01,11.82111579805336
1985-01-01,11.729028288428134
1985-02-01,11.689966437320258
1985-03-01,11.880515620649467
1985-04-01,11.902505063848169
1985-05-01,11.96226071726668
